Relative_Time,Strain_CH1,Strain_CH2,Strain_CH3,Strain_CH4,Strain_CH5,Strain_CH6,Strain_CH7,Strain_CH8,Force_CH9,Force_CH10,Force_CH11,Force_CH12,Force_CH13,Force_CH14,Force_CH15,Force_CH16,Force_CH17,Force_CH18,Force_CH19,Force_CH20,Force_CH21,Force_CH22,Force_CH23,Force_CH24,Force_CH25,Force_CH26,Force_CH27,Force_CH28,Force_CH29,Force_CH30,Force_CH31,Force_CH32,Force_CH33,Force_CH34,Force_CH35,Force_CH36,Force_CH37,Force_CH38,Force_CH39,Force_CH40,Force_CH41,Force_CH42,Force_CH43,Force_CH44,Force_CH45,Force_CH46,Force_CH47,Force_CH48,Force_CH49,Force_CH50,Force_CH51,Force_CH52,Force_CH53,Force_CH54,Force_CH55,Force_CH56,Force_CH57,Force_CH58,Force_CH59,Force_CH60,Force_CH61,Force_CH62,Force_CH63,Force_CH64,Tribo_CH1,Tribo_CH2,Tribo_CH3,Tribo_CH4,Tribo_CH5,Tribo_CH6,Tribo_CH7,Tribo_CH8
0.0,1377.3464,1152.6539,1549.5637,1463.4023,1462.5131,1410.9136,1459.5272,1558.1229,2536.3892,2033.6849,2556.6375,2120.7888,2761.9565,2627.383,1386.3682,1574.803,2656.6147,2377.5454,2748.6042,2757.386,2859.4226,2521.6792,1496.7482,2839.0493,977.4747,2400.567,80.25502,1285.1411,2278.386,1994.2891,35.33123,2412.2097,40.30025,47.266182,28.600725,38.32959,662.9147,2125.453,2607.1448,1898.5343,365.14047,29.76101,147.26656,40.118927,1676.2421,2412.1206,2101.6382,2687.5188,1568.3986,2282.5093,1476.2261,1868.4222,2622.2144,2135.2183,2111.1855,2349.3706,2177.9412,2366.457,2762.5056,2591.2686,2252.857,182.94685,1663.878,2335.1155,11.987112,-35.679985,1.9697868,34.188675,-1.406106,30.3381,6.595633,9.550347
0.03333333333333333,1377.5585999999998,1153.3926999999996,1549.0731666666668,1463.6251333333332,1462.1844,1402.589933333338,1458.8926000000004,1557.3113000000005,2535.644166666667,2032.9114000000004,2556.2893000000004,2120.6814666666664,2760.8440000000005,2626.3746000000006,1384.9587000000006,1574.1432666666672,2656.1116666666667,2366.086733333338,2748.0463333333337,2756.827333333333,2858.5266000000006,2534.414266666658,1495.8897333333337,2838.1626000000006,976.9404233333336,2399.7550000000006,80.31155333333331,1284.6274666666668,2276.532966666668,1993.1489666666673,35.39426933333331,2411.304033333334,40.35738233333332,47.3216813333333,28.668454333333315,38.39145133333332,670.503039999999,2126.5202,2606.046633333334,1899.6535666666666,365.53386666666444,29.83126,147.30658999999991,40.178455,1675.750766666667,2411.2969000000003,2101.4892,2686.488666666667,1570.7782333333319,2281.993566666667,1478.0248666666657,1868.384,2621.374233333334,2134.408633333334,2111.0805666666665,2348.763666666667,2177.7583,2364.700600000001,2761.638066666667,2589.277000000001,2251.9472000000005,182.85001666666668,1667.4175666666656,2334.331266666667,9.627310000002389,-19.1448039999966,2.1823589000001107,27.692312666663273,-2.161996233333985,25.37299100000064,6.627214133333192,13.233870999998535
0.06666666666666667,1377.7627,1154.1581666666666,1548.5927333333334,1463.869233333333,1461.8552333333334,1394.790100000001,1458.2992666666667,1556.5560000000003,2534.8643,2032.2296666666668,2555.928733333333,2121.0111666666667,2759.715166666667,2625.3117333333334,1383.4045333333336,1573.4214000000002,2657.938733333333,2350.12826666667,2747.9491666666668,2756.7320666666665,2857.6159000000002,2545.0574666666653,1495.0447666666669,2837.2628000000004,976.4301666666668,2398.9122,80.37507333333333,1284.1385666666667,2274.2973,1992.1197333333334,35.459209666666645,2410.3776666666668,40.432953333333316,47.377390999999974,28.736834666666656,38.45686699999999,677.5141599999974,2127.917933333333,2604.623533333334,1900.5311,367.697263333333,29.887717999999996,147.38544,40.239389999999986,1675.2701666666667,2410.4205666666667,2101.8248,2685.454266666667,1573.9762333333326,2281.4688,1480.2744333333328,1868.3944999999999,2620.4746,2133.2813333333334,2111.4083333333333,2348.1922000000004,2177.9029,2362.8023000000003,2760.8086333333335,2587.3349333333335,2250.8421333333335,182.85384,1668.8097666666667,2333.4819333333335,1.6149129333348307,-42.8003466666625,-0.49805885333254446,39.38698066666466,-0.8244206000001592,33.564528666664174,6.636788733333238,11.894569000001534
0.1,1377.9666999999997,1154.9762999999996,1548.1227000000001,1464.0679999999998,1461.5345000000002,1389.7666000000017,1457.7733000000005,1555.9077000000004,2534.0115000000005,2031.5654000000004,2555.606,2121.0286,2758.608400000001,2624.302000000001,1382.1167000000012,1572.7370000000005,2659.627,2332.775400000006,2747.8215,2756.5898000000007,2856.7240000000006,2556.9629999999916,1494.2808000000005,2836.3875000000003,975.9967000000003,2398.0390000000007,80.43110999999998,1283.6262000000002,2272.1821000000014,1991.1840000000004,35.516308,2409.4480000000003,40.49337399999998,47.42388,28.793407,38.51135599999998,689.7405000000053,2128.8886999999995,2603.0044000000007,1899.581500000002,369.9571199999976,29.949717,147.44977999999998,40.291954,1674.7242000000006,2409.5012000000006,2101.9145999999996,2684.4534000000003,1577.433099999998,2280.9177000000004,1483.8358999999973,1868.1105000000002,2619.5940000000005,2132.5120000000006,2111.4272,2348.0479,2178.4313999999995,2361.496000000001,2760.0024000000003,2585.6775000000007,2249.669700000001,182.79230000000013,1668.6907000000006,2332.6630000000005,-1.0756931000003416,-37.00344000001552,-3.085914400000124,38.641342000007796,-0.6115399000002232,40.007100000000015,6.686819000000045,10.430161999998274
0.13333333333333333,1378.1191666666666,1155.771933333333,1547.6139333333335,1464.1631,1461.1520333333335,1393.830333333331,1457.205766666667,1555.2718333333337,2533.1017333333334,2030.7088000000003,2555.1112000000003,2120.4859333333334,2757.465766666667,2623.258733333334,1381.114266666667,1571.650866666667,2659.4934,2323.8427333333348,2747.3339,2756.0934666666667,2855.7637333333337,2572.4889999999937,1493.510966666667,2835.405366666667,975.5023866666668,2397.128066666667,80.46956666666664,1283.1334000000002,2270.671466666667,1990.1186666666672,35.55615066666665,2408.4320666666667,40.54915,47.46188200000001,28.850285,38.54773,686.7186199999979,2128.253900000001,2601.294466666667,1894.668100000004,372.5306499999995,29.995016,147.47599666666662,40.334354,1674.0624000000003,2408.5326333333337,2101.887199999999,2683.3590666666673,1581.0943666666653,2280.3163000000004,1487.7453666666652,1867.544566666667,2618.691966666667,2131.7689,2111.428099999999,2359.9081999999908,2178.8934,2360.6218666666673,2759.105466666667,2584.144066666667,2248.3078000000005,182.7136166666667,1668.1852999999999,2331.7657000000004,-2.5968343999987833,-36.50389099999214,-3.033462233333402,37.52342233333084,0.8221456733324682,43.7197469999994,6.692013433333162,7.663522233336027
0.16666666666666666,1378.3087333333333,1156.6604666666665,1547.2040666666667,1464.2368666666666,1460.757566666667,1399.3644999999988,1456.5746333333336,1554.6203333333335,2532.1529333333337,2029.8895000000002,2554.5602,2117.793600000001,2756.3819333333336,2622.2760333333335,1380.4370666666669,1570.607366666667,2660.2888666666668,2312.6962666666695,2747.0406,2755.8056,2854.8435333333337,2577.9507999999996,1492.6969333333336,2834.4779333333336,975.0145666666668,2396.2473,80.48630666666668,1282.4772000000003,2268.5444000000007,1989.144166666667,35.56451,2407.465866666667,40.55495,47.474469333333325,28.860031,38.54830666666669,688.9337666666681,2128.1630999999998,2599.4555000000005,1883.2708333333362,373.4840466666665,30.005383333333324,147.4924866666667,40.341103,1673.5534333333335,2407.5506333333337,2102.1391000000003,2682.327433333334,1585.320899999999,2279.678733333333,1491.7340666666657,1866.753766666667,2617.8194000000003,2131.0926333333337,2111.7013333333334,2383.8535,2178.9294333333337,2359.105333333334,2758.2209333333335,2582.2558666666673,2246.7076666666676,182.60004666666669,1668.0635000000004,2330.7138333333337,-1.1018841333347407,-66.51572833333104,-0.7680989166675688,46.30530833333684,5.552110466666249,31.092064000006662,6.606535266666673,-1.7970634333330815
0.2,1378.551,1157.5025999999998,1546.9489000000003,1464.3651,1460.3406000000002,1403.862799999997,1455.8870000000004,1553.9637000000005,2531.2683000000006,2029.0361000000005,2553.8792000000003,2114.7817000000014,2755.2651000000005,2621.2053000000005,1379.8748,1569.6285000000005,2660.1226000000006,2304.5884000000033,2746.5378000000005,2755.2790000000005,2853.8604000000005,2586.4118999999955,1491.7134000000008,2833.4656000000004,974.4956000000003,2395.2502000000004,80.45325000000003,1281.7454000000005,2267.0250000000005,1988.0873000000006,35.53558300000004,2406.4238000000005,40.536625000000036,47.44874000000005,28.824543000000048,38.52448000000001,689.5846000000021,2129.3209999999995,2597.697000000001,1876.7703000000017,374.0636299999995,29.99031400000005,147.4627,40.32283800000003,1672.8090000000007,2406.5300000000007,2101.7673,2681.2644000000005,1589.1819999999984,2278.9841000000006,1494.7027999999991,1865.9065000000005,2616.9050000000007,2130.4045000000006,2111.225,2383.5137000000004,2178.6106000000004,2357.7097,2757.3308000000006,2580.218800000001,2244.7932000000014,182.48149000000015,1666.4805000000022,2329.522000000001,3.014229799998464,-39.151080000016094,1.3116074999990799,29.58092700000615,2.9841292000014272,24.834107999992156,6.621834799999878,3.3335215999965797
0.23333333333333334,1378.7253,1158.2227999999998,1546.8755333333334,1464.4782666666665,1459.8916666666667,1409.0592999999994,1455.1881,1553.3798333333334,2530.5321333333336,2028.3256000000001,2553.131766666667,2112.1614333333337,2754.322266666667,2620.2885666666666,1379.5671000000002,1568.9871666666668,2659.5403333333334,2300.933066666667,2745.8263333333334,2754.549033333333,2852.8810000000003,2597.6380333333314,1490.7518666666667,2832.4769,974.0495666666667,2394.323566666667,80.41437666666667,1281.2331000000001,2266.2096,1987.1769333333334,35.48964266666668,2405.5476000000003,40.49642400000001,47.40237533333335,28.795038333333345,38.489495000000005,682.3815200000023,2131.3361999999997,2596.4712000000004,1876.5433333333328,374.77157999999986,29.957055333333344,147.41154,40.281492000000014,1671.5217000000002,2405.6339000000003,2101.7853,2680.3542666666667,1592.699366666666,2278.3995999999997,1496.1350999999997,1865.3307333333335,2616.1390666666666,2129.565666666667,2111.3058666666666,2383.3115000000003,2178.077866666667,2358.1117,2756.6397333333334,2578.7791,2242.7390000000005,182.33569666666668,1662.748333333334,2328.4058666666665,5.093244366666004,-81.6808066666451,4.645286866665454,33.74805266666466,10.500852666664212,47.53472333333069,6.685918966666593,18.43540966666102
0.26666666666666666,1379.1220666666663,1158.934633333333,1547.428833333333,1464.9784999999997,1459.8335,1411.2415666666661,1454.9289666666668,1553.2254333333335,2530.289466666667,2028.1101999999998,2552.843566666667,2109.2433333333347,2754.0876,2620.0664,1378.8873000000006,1568.7043,2659.3644,2297.536966666668,2745.683,2754.408,2852.5916,2609.935266666655,1490.2640333333336,2832.1876666666667,973.9119566666667,2394.0880666666667,80.34862333333335,1281.0604666666668,2266.6649666666663,1986.9205333333334,35.45294466666669,2405.2676,40.452565333333375,47.34879933333335,28.767823333333354,38.44616300000004,667.1857200000129,2137.7611333333284,2595.9414333333334,1878.739199999999,375.86925999999926,29.90905300000002,147.34184000000005,40.236625000000025,1670.292133333334,2405.4074,2101.355666666666,2680.0819,1596.2305666666646,2278.4009333333333,1497.4255666666656,1865.1830333333335,2616.007666666667,2129.3942,2110.8469333333323,2383.695866666666,2177.8317,2358.0174666666667,2756.6643666666664,2578.4544666666666,2241.3120666666673,182.15359666666674,1658.1346666666693,2327.8329333333336,13.1812769999993,-253.1208399999887,16.532758333332346,52.458152666666024,28.426826666665853,52.54771133333399,6.850488933333278,53.98763399999805
0.3,1379.4265,1159.2423,1548.1607999999999,1465.4148999999998,1459.7802,1411.6853,1454.656,1553.0206,2530.116,2027.9509,2552.4985,2106.207000000001,2753.8965,2619.9045,1378.3737000000003,1568.5239,2659.212,2295.701,2745.5073,2754.2224,2852.3738,2623.5651999999955,1489.8774000000003,2831.9646,973.8911,2393.991,80.31076,1280.8917,2266.815,1986.7172,35.420692,2405.0054,40.41807600000002,47.30996700000002,28.737791,38.421387000000024,656.8425000000016,2144.580799999998,2595.5283,1879.3069000000005,376.7320599999998,29.88183,147.32182,40.20445000000002,1669.1305000000004,2405.1904,2101.317,2679.8796,1599.291299999999,2278.4624,1498.8518999999992,1864.8827,2615.9172,2129.2341,2110.8535,2384.2785999999996,2177.8145,2358.6848,2756.7056,2578.6707,2240.0537000000004,182.0112,1656.2287999999996,2327.1255000000006,12.579463000000688,-188.4532800000559,16.4338020000016,42.767197000005574,20.649023000003943,39.920460000008454,6.801959500000147,46.62796000000471
